id;sku;name;unit;quantity
P-001;SKU-001;Цемент М400 25кг;шт;120
P-002;SKU-002;Пісок будівельний;т;18
P-003;SKU-003;Цегла червона;шт;4200
P-004;SKU-004;Фарба водоемульсійна 10л;шт;36
P-005;SKU-005;Шпаклівка фінішна;кг;250
P-006;SKU-006;Профіль CD-60;м;800
P-007;SKU-007;Саморізи 3.5x25;уп;140
P-008;SKU-008;Грунтовка глибокого проникнення;л;60
P-009;SKU-009;Плитка керамічна;м2;310
P-010;SKU-010;Клей плитковий;кг;540
P-011;SKU-011;Гіпсокартон 12.5мм;лист
P-012;SKU-012;Стрічка армуюча;м;багато
P-013;;Без артикулу;шт;10
